iter,target,colsample_bytree,max_depth,min_child_samples,min_child_weight,reg_alpha,reg_lambda,subsample
1,0.9375,0.501,12.05,25.58,12.27,0.8718,0.1032,0.9364
2,0.9394,0.4184,12.41,10.27,11.32,0.6129,0.6693,0.9451
3,0.9434,0.4159,7.921,15.93,5.788,0.2578,0.7495,0.5079
4,0.9409,0.9455,7.488,15.06,12.84,0.8043,0.3507,0.7879
5,0.9438,0.6492,12.19,11.46,3.529,0.9118,0.3783,0.5038
6,0.9433,0.6919,5.049,10.96,3.052,0.5816,0.3699,0.6027
7,0.9437,0.7272,5.016,10.04,3.049,0.8995,0.959,0.6328
8,0.9428,0.7649,5.55,29.89,3.038,0.619,0.8349,0.9302
9,0.9406,0.8977,5.034,10.27,3.179,0.6197,0.4795,0.8378
10,0.9422,0.5658,14.86,10.01,3.204,0.3483,0.8593,0.6098
11,0.943,0.4637,5.082,29.51,3.1,0.9999,0.5807,0.7465
12,0.9439,0.8917,14.93,29.6,3.04,0.9604,0.4268,0.7811
13,0.9435,0.6634,14.78,29.87,3.005,0.1435,0.8506,0.7621
14,0.9435,0.9588,5.269,29.9,3.051,0.3906,0.2815,0.7872
15,0.9459,0.9192,14.52,29.13,3.032,0.4589,0.5739,0.5954
16,0.9436,0.9687,15.0,29.66,3.013,0.5883,0.2848,0.9
17,0.9429,0.7069,14.94,29.46,3.043,0.8154,0.9834,0.7757
18,0.9419,0.7306,14.7,29.85,3.019,0.3431,0.7437,0.6557
19,0.9426,0.9176,5.264,29.47,3.012,0.9698,0.4252,0.5661
20,0.9438,0.9581,14.74,10.23,3.004,0.5116,0.232,0.8786
21,0.9425,0.7357,14.71,10.02,3.037,0.4831,0.3832,0.531
22,0.9437,0.9814,14.79,29.81,3.087,0.9782,0.4929,0.5513
23,0.9425,0.6987,14.93,28.72,3.049,0.9096,0.879,0.5568
24,0.9432,0.7381,5.249,29.9,3.076,0.1542,0.9703,0.9418
25,0.9431,0.5105,14.91,29.51,3.007,0.2461,0.4478,0.5668
26,0.9438,0.5599,14.81,10.14,3.03,0.7929,0.9785,0.9419
27,0.943,0.6008,14.61,10.89,3.002,0.327,0.934,0.6261
28,0.9443,0.8728,14.52,10.27,3.143,0.1019,0.2721,0.7179
29,0.9439,0.761,14.97,11.19,3.004,0.9068,0.2467,0.6829
30,0.9427,0.9854,14.99,12.48,3.063,0.1865,0.2044,0.6772
31,0.9427,0.9766,5.816,10.3,3.108,0.1295,0.8399,0.5171
32,0.9425,0.4512,14.78,29.41,3.014,0.6936,0.1508,0.9162
33,0.9432,0.9018,14.57,10.8,3.038,0.7406,0.2806,0.5193
34,0.9445,0.9658,14.99,10.93,3.028,0.9064,0.9299,0.5732
35,0.9434,0.5324,14.99,10.5,3.032,0.583,0.2024,0.9549
36,0.9409,0.9819,5.233,10.29,3.008,0.4554,0.2991,0.7784
37,0.9441,0.9624,14.82,29.71,3.059,0.1927,0.325,0.6099
38,0.9445,0.7634,14.92,29.01,3.122,0.5251,0.8497,0.8526
39,0.9438,0.6893,14.65,29.93,3.011,0.7145,0.6957,0.5525
