name,value
化工原料,51
环境保护,47
综合类,39
互联网,35
电气设备,34
影视音像,33
区域地产,32
软件服务,31
文教休闲,26
汽车配件,24
元器件,21
农业综合,21
黄金,19
农药化肥,19
仓储物流,18
生物制药,18
家用电器,17
多元金融,16
食品,16
通信设备,16
中成药,15
小金属,15
建筑工程,14
水运,14
化学制药,13
铅锌,12
商贸代理,12
新型电力,11
机械基件,11
百货,11
服饰,11
全国地产,11
酒店餐饮,11
焦炭加工,10
其他建材,10
水泥,10
普钢,10
供气供热,10
纺织,9
煤炭开采,9
火力发电,9
铝,9
专用机械,9
批发业,9
汽车整车,8
造纸,8
塑料,8
饲料,7
石油开采,7
陶瓷,6
银行,6
铁路,6
林业,6
种植业,6
化工机械,6
园区开发,5
工程机械,5
路桥,5
出版业,5
化纤,5
证券,5
乳制品,5
渔业,5
旅游服务,5
广告包装,5
钢加工,4
医疗保健,4
航空,4
机床制造,4
半导体,4
水力发电,3
装修装饰,3
摩托车,3
IT设备,3
房产服务,3
水务,3
超市连锁,3
电器仪表,3
红黄酒,2
白酒,2
汽车服务,2
铜,2
日用化工,2
特种钢,2
医药商业,2
矿物制品,2
纺织机械,2
石油贸易,2
公路,2
运输设备,2
其他商业,2
空运,1
染料涂料,1
旅游景点,1
啤酒,1
玻璃,1
港口,1
石油加工,1
