name,value
软件服务,120
电气设备,117
元器件,106
化工原料,101
汽车配件,78
通信设备,69
化学制药,67
区域地产,66
中成药,57
建筑工程,56
专用机械,54
互联网,53
环境保护,49
证券,43
医疗保健,43
机械基件,41
半导体,40
食品,39
百货,38
农药化肥,37
电器仪表,37
影视音像,36
全国地产,35
服饰,35
家用电器,33
生物制药,32
火力发电,32
银行,31
综合类,31
塑料,30
多元金融,29
煤炭开采,29
小金属,29
纺织,28
工程机械,27
文教休闲,27
广告包装,26
普钢,25
IT设备,24
仓储物流,24
化纤,23
供气供热,23
汽车整车,23
农业综合,23
水泥,21
商贸代理,21
水力发电,21
造纸,21
铝,19
其他建材,19
航空,18
路桥,18
港口,18
钢加工,17
医药商业,17
园区开发,15
石油开采,14
玻璃,14
白酒,14
饲料,13
装修装饰,13
出版业,13
运输设备,12
铅锌,12
家居用品,12
水运,12
旅游服务,12
黄金,12
新型电力,11
种植业,11
水务,11
矿物制品,11
超市连锁,10
化工机械,10
旅游景点,10
铜,10
汽车服务,10
酒店餐饮,9
红黄酒,9
轻工机械,9
其他商业,9
机床制造,8
特种钢,8
乳制品,8
渔业,8
公共交通,7
石油加工,7
染料涂料,7
石油贸易,7
纺织机械,7
啤酒,7
房产服务,6
电信运营,6
焦炭加工,6
船舶,6
保险,6
橡胶,6
日用化工,6
批发业,6
空运,5
软饮料,5
摩托车,5
农用机械,5
铁路,4
公路,4
机场,4
林业,4
商品城,3
陶瓷,3
电器连锁,2
