ts_code,ann_date,end_date,audit_result,audit_agency,audit_sign
000004.SZ,20180428,20171231,带强调事项段的无保留意见,大华会计师事务所,"胡进科,赵君"
000005.SZ,20190425,20181231,带强调事项段的无保留意见,中审众环会计师事务所,"罗跃龙,杨旭"
000005.SZ,20180421,20171231,带强调事项段的无保留意见,中审众环会计师事务所,"罗跃龙,杨旭"
000005.SZ,20170427,20161231,带强调事项段的无保留意见,中审众环会计师事务所,"罗跃龙,曾毅凯"
000005.SZ,20160427,20151231,带强调事项段的无保留意见,中审众环会计师事务所,"罗跃龙,曾毅凯"
000005.SZ,20150411,20141231,带强调事项段的无保留意见,中审亚太会计师事务所,"李新首,曾毅凯"
000005.SZ,20140426,20131231,带强调事项段的无保留意见,中审亚太会计师事务所,"李新首,张文华"
000005.SZ,20130424,20121231,带强调事项段的无保留意见,中审亚太会计师事务所,"李新首,曾毅凯"
000005.SZ,20120424,20111231,带强调事项段的无保留意见,中审亚太会计师事务所,"李新首,曾毅凯"
000005.SZ,20110430,20101231,保留意见,深圳市鹏城会计师事务所,"易永健,王剑波"
000005.SZ,20100430,20091231,带强调事项段的无保留意见,深圳市鹏城会计师事务所,"易永健,王剑波"
000007.SZ,20190430,20181231,带强调事项段的无保留意见,中兴财光华会计师事务所,"肖志军,胡芬芳"
000007.SZ,20190430,20181231,带强调事项段的无保留意见,中兴财光华会计师事务所,"肖志军,胡芬芳"
000007.SZ,20180424,20171231,保留意见,中审众环会计师事务所,"巩启春,周小春"
000007.SZ,20150430,20141231,带强调事项段的无保留意见,瑞华会计师事务所,"易永健,李泽浩"
000007.SZ,20110423,20101231,带强调事项段的无保留意见,深圳市鹏城会计师事务所,"易永健,王培"
000007.SZ,20100421,20091231,带强调事项段的无保留意见,深圳鹏城会计师事务所,"王培,文爱凤"
000010.SZ,20190425,20181231,带强调事项段的无保留意见,中勤万信会计师事务所,"李光初,刘雪亮"
000010.SZ,20180427,20171231,带强调事项段的无保留意见,中勤万信会计师事务所,"李光初,刘雪亮"
000010.SZ,20170422,20161231,带强调事项段的无保留意见,中勤万信会计师事务所,"李光初,刘雪亮"
000010.SZ,20110429,20101231,带强调事项段的无保留意见,深圳市鹏城会计师事务所,"杨平高,杨盛巧"
000010.SZ,20100422,20091231,带强调事项段的无保留意见,深圳市鹏城会计师事务所,"杨平高,杨盛巧"
000017.SZ,20190420,20181231,带强调事项段的无保留意见,天职国际会计师事务所,"陈志刚,张磊"
000017.SZ,20180418,20171231,带强调事项段的无保留意见,天职国际会计师事务所,"陈志刚,张磊"
