num,data
1,6.099
2,5.596
3,3.455
4,2.944
5,2.59
6,2.395
7,2.35
8,2.055
9,1.999
10,1.934
11,1.67
12,1.551
13,1.388
14,1.343
15,1.243
16,1.21
17,1.175
18,1.128
19,1.106
20,1.082
21,1.066
22,1.038
23,1.018
24,1.001
25,0.998
26,0.992
27,0.987
28,0.975
29,0.969
30,0.959
31,0.955
32,0.938
33,0.913
34,0.876
35,0.866
36,0.854
37,0.832
38,0.778
39,0.744
40,0.685
41,0.64
42,0.611
43,0.593
44,0.552
45,0.546
46,0.515
47,0.504
48,0.461
49,0.364
50,0.354
51,0.345
52,0.313
53,0.276
54,0.254
55,0.248
56,0.242
57,0.21
58,0.192
59,0.186
60,0.173
61,0.107
62,0.093
63,0.077
64,0.073
65,0.068
66,0.055
67,0.049
68,0.047
69,0.038
70,0.034
71,0.026
