en,zh,var
current_ratio,流动比率,X101
quick_ratio,速动比率,X102
cash_ratio,保守速动比率,X103
interst_income,利息费用,X104
current_exint,无息流动负债,X105
noncurrent_exint,无息非流动负债,X106
interestdebt,带息债务,X107
netdebt,净债务,X108
tangible_asset,有形资产,X109
working_capital,营运资金,X110
networking_capital,营运流动资本,X111
invest_capital,全部投入资本,X112
retained_earnings,留存收益,X113
debt_to_assets,资产负债率,X114
assets_to_eqt,权益乘数,X115
dp_assets_to_eqt,权益乘数(杜邦分析),X116
debt_to_eqt,产权比率,X117
eqt_to_debt,归属于母公司的股东权益/负债合计,X118
eqt_to_interestdebt,归属于母公司的股东权益/带息债务,X119
tangibleasset_to_debt,有形资产/负债合计,X120
tangasset_to_intdebt,有形资产/带息债务,X121
tangibleasset_to_netdebt,有形资产/净债务,X122
ocf_to_debt,经营活动产生的现金流量净额/负债合计,X123
ocf_to_interestdebt,经营活动产生的现金流量净额/带息债务,X124
ocf_to_netdebt,经营活动产生的现金流量净额/净债务,X125
ebit_to_interest,已获利息倍数(EBIT/利息费用),X126
longdebt_to_workingcapital,长期债务与营运资金比率,X127
ebitda_to_debt,息税折旧摊销前利润/负债合计,X128
cash_to_liqdebt,货币资金／流动负债,X129
cash_to_liqdebt_withinterest,货币资金／带息流动负债,X130
op_to_liqdebt,营业利润／流动负债,X131
op_to_debt,营业利润／负债合计,X132
profit_to_gr,净利润/营业总收入,X201
saleexp_to_gr,销售费用/营业总收入,X202
adminexp_of_gr,管理费用/营业总收入,X203
finaexp_of_gr,财务费用/营业总收入,X204
impai_ttm,资产减值损失/营业总收入,X205
gc_of_gr,营业总成本/营业总收入,X206
op_of_gr,营业利润/营业总收入,X207
ebit_of_gr,息税前利润/营业总收入,X208
roa,总资产报酬率,X209
npta,总资产净利润,X210
roic,投入资本回报率,X211
roe_yearly,年化净资产收益率,X212
roa2_yearly,年化总资产报酬率,X213
roe_avg,平均净资产收益率(增发条件),X214
opincome_of_ebt,经营活动净收益/利润总额,X215
investincome_of_ebt,价值变动净收益/利润总额,X216
